implementation_location_province,buyer_name,Department,supplier_name,order_amount_zar
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NDEX CONSULTING,1953050.08
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NDOKOSE TRADING & PROJECTS PTY LTD,2139998.07
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NDONGENI CONSTRUCTION,1776763.5
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NDZAMELA CONSTRUCTION,1945546.89
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NEW HORIZONS 092,2239154.22
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NEWLITIME PTY LTD,3421202.92
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NEZAMNA PROJECT (PTY) LTD,1946582.73
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NGUBANE PROJECTS (PTY) LTD,1946582.73
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NGUTA - MABE SOLUTIONS (PTY) LTD,2059185.06
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NGXIVA CONSTRUCTION,1865893.5
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NMN GENERAL DEALERS (canceled),2132980.21
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NMV HOLDINGS,2119386.59
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NOBUPAT (PTY) LTD,1778421.18
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NOROTONE (PTY) LTD,2087387.94
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NTINGA PROFESSIONALS,1904221.96
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),NUTIGEN,1306528.55
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),OGU YONKE CATERING AND CONSTRUCTION CC,1710370.58
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),OKMAN TRADING,1822817.28
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),OVAYO INVESTMENTS,1457847.9
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),OYISII ENGINEERING & PROJECTS,1883142.07
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),PAKAMA GENERAL TRADING,3545901.03
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),PELE G TRADING 2012,1718220.74
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),PHATHILIZWI TRAINING INSTITUTE,2032665.71
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),PHATU AND THINA TRADING,3740988.74
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),PHOTUXOLO TRADING,643571.22
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),PIXITYPE LTD,2222865.49
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),PRECISE ESTATE AGENTS,1719371.43
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),QOONCE EVENTS AND ENTERTAINMENT,2034980.32
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),QUICK PROTECTION AND HYGIENE SERVICES (PTY) LTD,1164198.99
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),RIETU TRADING (PTY) LTD,1917980.44
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),RUTISYNC (PTY) LTD,3182602.94
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SAGINGQA,1902911.71
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SALAISO SUPPLIERS,1762325.48
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SAM SAM TRADING (PTY)LTD,2069116.28
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),SEBENZA MKHONTO,2253025.32
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),Shabar Holdings (PTY) LTD,1566680.43
