Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DPP Mpumalanga,6/2/2020,Michem Cleaning Supplies,trigger yellow,R           12.00,8,R                                 96.00,trigger yellow
DPP Mthatha,4/3/2020,Mdeira Pharmacy,Gloves,,20 boxes,"R                            1,417.60",None
DPP Mthatha,4/8/2020,Exclusive Brands Cleaning Products,Sanitisers,R         434.78,2 x 5L,R                               999.99,None
DPP Mthatha,4/14/2020,Taboola Textile,Facial mask,R           16.00,160 masks,"R                            2,560.00",None
DPP Mthatha,4/15/2020,Charlene Sanitizers,Sanitisers,R         500.00,7 x 5L,"R                            3,500.00",None
DPP Mthatha,5/19/2020,B T N N GENERAL TRADING,FACE SHIELDS x 100,,,"R                            5,000.00",None
DPP Mthatha,5/20/2020,SanitiZAEC,Pedal Handstands,R         650.00,2,"R                            1,300.00",None
DPP Mthatha,5/21/2020,PHUMAPHAMBILI AGRICULTURE AND TEXTILE AND MULTI-PURPOSE CO-OPERATIVE LIMITED,RE-USABLE FACE MASKS - DPP MTHATHA,,,"R                            7,250.00",None
DPP Mthatha,5/25/2020,ONLYN BIZ ENTERPRISE,SANITIZERS x 145 - DPP MTHATHA,,,"R                          49,010.00",None
DPP Mthatha,6/15/2020,,Face masks,R           30.00,160,"R                            4,800.00",None
DPP Mthatha,6/15/2020,,Face masks,R           30.00,160,"R                            4,800.00",None
DPP North West,2/4/2020,Shoprite,Batteries for temperature scanner,R           39.90,4,R                                 39.90,None
DPP North West,3/18/2020,Tshoetso Entle General Trading,Sanitisers (1 L),R         237.50,21,"R                            4,987.50",None
DPP North West,3/19/2020,Danie Meyer pharmacy,Sanitisers (Hand per 50 ml),R           16.00,212,"R                            3,392.00",None
DPP North West,3/25/2020,Tshoetso Entle General Trading,Gloves - (Boxes of 100),R         175.00,3,R                               525.00,None
DPP North West,3/26/2020,Qaphela Risk Innovation,Masks,R             9 .50,780,"R                            7,410.00",None
DPP North West,4/2/2020,NWK,Sanitizer (5L),R         611.80,1,R                               611.80,None
DPP North West,5/19/2020,African Poncho,3 layer washable masks,R           25.00,300,"R                            7,500.00",None
DPP North West,9/6/2020,Ikageleng Infrastructure Projects,Foot Operated Sanitisers stands,R         900.00,2,"R                            1,800.00",None
