Name of Supplier / Service Provider,Commodity / Description of Services,"Order Amount/Rate per room
 (quarantine accommodation)"
Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Sterkspruit,35285
Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Aliwal North,38885
Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Matatiel,30542
Ezamabamba Trading,"Emergency Procurement Delegation with 5
 Quotes obtained.",152580
Ezamabamba Trading,"Emergency Procurement Delegation with 6
 Quotes obtained.",141089
Ezamabamba Trading,Emergency Process,29800
Fabs Pty Ltd,Cleaning services @ Mamelodi Court,360003
Fabs Pty Ltd,Cleaning services @ Mamelodi Court,36000
Farm House – Free State,Accommodation: Quarantine Site,850
Feli Fred Trading,"Purchasing of 60%-70% alcohol based hand
 sanitisers",29325
Fidelity Cleaning Services,"PPE for Isolation Rooms (Blue Disposable Head
 Covers)",136
Fidelity Cleaning Services,"PPE for Isolation Rooms (Blue Disposable Shoe
 Covers)",1493
Fidelity Cleaning Services,"PPE for Isolation Rooms (Blue Disposable
 Surgical Gowns Large)",3361
Fidelity Cleaning Services,"PPE for Isolation Rooms (Blue Disposable
 Surgical Overalls Large)",3279
Fidelity Cleaning Services,PPE for Isolation Rooms (Masks FFP1),317
Fidelity Cleaning Services,PPE for Isolation Rooms First Aid Box Refills),1172
Fine FIX Supply,"Decontamination at Bronkhorstspruit
 Magistrate",102924
"First Million Development CC T/A
 Black Mountain Hotel",Accommodation: Quarantine Site,1150
"First Million Development CC T/A
 Windmill Casino Hotel",Accommodation: Quarantine Site,1050
Flowtide Trading 128,Supply & delivery of surgical masks,392438
Foodwear and Safety,Masks & Gloves,6381
Fortuness Trading,Supply Of Non Sterile Examination Gloves,216000
"Free Compass Sewing Primary Co-
 op",Cloth Masks,20000
"Free Compass Sewing Primary Co-
 op",Digital Thermometer,7500
"Free Compass Sewing Primary Co-
 op",Examination Gloves Large,22500
"Free Compass Sewing Primary Co-
 op",Examination Gloves Medium,13500
"Free Compass Sewing Primary Co-
 op",Examination Gloves Xlarge,18000
"Free Compass Sewing Primary Co-
 op",Sanitizer 5 Litre bottle,92500
"Free Compass Sewing Primary Co-
 op",Sanitizer 500ml bottle,27750
"Free Compass Sewing Primary Co-
 op",Spray Bottle,22500
"Free Compass Sewing Primary Co-
 op",Visor,63000
Gadinelwe Construction & Projects,Cleaning contracts - Lockdown,87815
Gadinelwe Construction & Projects,Cleaning contracts - Lockdown,95615
Gadinelwe Construction & Projects,Cleaning contracts - Lockdown,99015
Game Store,"Disposable Sheets/Pillow Cases x20;
 Laminating Plastic x 3 packs; Drawing pins x 4
 packs",2000
GEE Square Construction,Cleaning Magistrate courts: Maclear,17841
GEE Square Construction,Cleaning Magistrate courts: Mt Ayliff,17311
GEE Square Construction,Cleaning Magistrate courts: Qumbu,18271
GEE Square Construction,Cleaning Magistrate courts: Willowvale,17491
Gitler Trading CC,Cleaning Magistrate courts: Bityi,25404
Gitler Trading CC,Cleaning Magistrate courts: Bityi,21372
Glearmartins Trading Enterprise,PTA West Quarantine Site ( Garden Service),158700
Glearmartins Trading Enterprise,"Soft Services, Salvokop Quarantine site",305540
Gomo Guru,Decontamination of facilities,142888
Gomo Guru,"Deep cleaning  Magistrate office: Ehlanzeni
 cluster 1",142888
Gonang Laboratories,250ml Hand Sanitizers,2062
Gonang Laboratories,250ml Hand Sanitizers,1237
Greystone Trading,Decontamination of Dept Justice Area 3,26924
Greystone Trading,Decontamination of Dept Justice Area 4,27766
Greystone Trading,Decontamination of Dept Justice Area 5,8459
Growth Makhosikati,Wheel Chair,4224
Growth Point Engineering,Body covering overalls,470400
Gugu Mobile Boutique,"Durban Regional Office: Supply of fabric musk
 and face shield",112250
GXM Trading Enterprise,Medical equipment and supplies,34896
Hands on Vegetation,"Cluster 8 Courts: Cleaning and
 Decontamination of facilities - Northern HC,
 Prieska and Marydale Periodic Courts",130200
Hands on Vegetation,"Cluster 9 Courts: Cleaning and
 Decontamination of facilities - Barkley West,
 Danielskuil, Delportshoop, Kuruman MC,
 Mothibistad and Botithong Periodic Courts",92000
Harvest Medical Hygiene,Once off Supply of Hand Sanitisers,329025
Hlakano Group,"Memel Magistrate Office: Service for April
 2020",15832
Hlakano Group,"Memel Magistrate Office: Service for MAY
 2020",15832
Holiday Inn Cape Town,Accommodation: Quarantine Site,1350
Hornes Projects,"Installation and removal of auto- hand
 sanitizer Dispenser",57500
Hornes Projects,"Monthly replacement of 1000 hand sanitizers
 and servicing for 12 Months",3864000
HZ & Sons Enterprise,Cleaning Magistrate courts: butterworth,40000
HZ & Sons Enterprise,Cleaning Magistrate courts: butterworth,36000
Ianjus Trading Projects,"supply ,Installation and maintenance of hand
 sanitizers",492637
IEK Business Enterprise,"Deep cleaning  Magistrate office: Gert Sibande
 cluster 4",64338
Ikando t/a IT Master,Remote management tools,2196530
Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg
 Magistrate Court, Land Claims Court and
 Midrand Branch Court (JHBE19/278)",65925
Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg
 Magistrate Court, Land Claims Court and
 Midrand Branch Court (JHBE19/278)",95015
Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg
 Magistrate Court, Land Claims Court and
 Midrand Branch Court (JHBE20/020)",28978
Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg
 Magistrate Court, Land Claims Court and
 Midrand Branch Court (JHBE20/020)",95015
Immaculate Cleaning and Hygiene,"Provision of cleaning services at Randburg
 Magistrate Court, Land Claims Court and
 Midrand Branch Court (JHBE20/020)",65925
Imvuko Service and Supply,Mobi Toilets roadblocks( SAPS),29250
Indaba Hotel and Spa - JHB,Accommodation: Quarantine Site,1208
Intyatyambo Business Services,"Cleaning Magistrate courts: Aliwal North;
 Sterkspuit; Glen Grey and Barkly East",73670
Intyatyambo Business Services,"Cleaning Magistrate courts: Aliwal North;
 Sterkspuit; Glen Grey and Barkly East",66110
Irritech,Masks to be used by officials,800
Isivungu Vungu,Hiring of Generator (one site),63000
ISO Lekhaya Trading,Cleaning Magistrate courts: ENGCOBO,16891
ISO Lekhaya Trading,Cleaning Magistrate courts: Libode,16291
