Supplier Name,Director Name,Director Surname,Company Registration,CSD Supplier  Number,Location,District,Departme,tOrder Price,
NEW HORIZONS 092,Kekeletso,Khitsane,2019/072944/07,MAAA0735987,Eastern Cape,Sarah Baartman,DOE,2239154.22,
LUGEBHU HOLDINGS,Mfundo,Lugebu,2017/388922/07,MAAA0607546,Eastern Cape,Chris Hani,DOE,2236903.05,
ZINABO TRADING ENTERPRISE,ZANDILE HURRIET,GUDLA,2007/169592/23,MAAA0093160,Eastern Cape,Nelson Mandela Bay,DOE,2229853.78,
"AMANYAWUZA TRADING AND
DEVELOPMENT (PTY) LTD",Siphumeze,Lange,2016/292224/07,MAAA0347832,Eastern Cape,Joe Gqabi,DOE,2225049.52,
EXILITE 369,Masixole,Mfingwana,2011/064761/23,MAAA0899972,Eastern Cape,Buffalo City,DOE,2222865.49,
PIXITYPE LTD,Sijadu,Mhaga,2019/556828/07,MAAA0883925,Eastern Cape,Buffalo City,DOE,2222865.49,
"AMANDL'ENTOMBI TRADING
& PROJECTS (PTY)LTD",Unathi Thembela,Ngejane,2013/099541/07,MAAA0535532,Eastern Cape,Nelson Mandela Bay,DOE,2222371.83,
TAKE NOTE TRADING 8 CC,ENATI,VUTULA,2002/021822/23,MAAA0095036,Eastern Cape,Buffalo City,DOE,2221563.23,
LOJA TRADING,Solethu,Nana,2009/019324/23,MAAA0033675,Eastern Cape,Chris Hani,DOE,2212965.44,
"THV LOGISTICS AND PROJECTS
CC",Thulani,Vilakazi,2017/435433/07,MAAA0627176,Eastern Cape,Nelson Mandela Bay,DOE,2209092.07,
"AMS RHUDULU PROJECTS
(PTY) LTD",Amos Mthetho,Saleni,2012/185082/07,MAAA0090430,Eastern Cape,Buffalo City,DOE,2205932.74,
MIGCOBO INVESTMENTS PTY,Lunga Owen,Nqam,2019/513647/07,MAAA0849807,Eastern Cape,Joe Gqabi,DOE,2199167.45,
"STENS WOMENS BUSINESS
SERVICES",Stella Nosipho,Kunju,2003/028508/23,MAAA0438756,Eastern Cape,OR Tambo,DOE,2181890.81,
"UNLOCKED CONSULTANTS PTY
LTD",Sinazo,Nkewana,2019/025887/07,MAAA0729443,Eastern Cape,Joe Gqabi,DOE,2175192.82,
"STORIZ INVESTMENTS (PTY)
LTD",Tandokazi Isibabale,Sapepa,2017/227404/07,MAAA0532936,Eastern Cape,OR Tambo,DOE,2172283.73,
MASALAMAHLE TRADING CC,LUMKA PORTIA,LUKHALO,2006/217559/23,MAAA0391949,Eastern Cape,OR Tambo,DOE,2171650.65,
LAKHAZA CONSTRUCTION CC,Nkosithandile,Sitelo,2010/047282/23,MAAA0153620,Eastern Cape,Chris Hani,DOE,2171427.84,
FALCOM INDUSTRY,Shanice,Canham,2016/358106/07,MAAA0642717,Eastern Cape,Buffalo City,DOE,2165248.88,
VUCA SOLUTIONS,Zola,Phambuca,2019/447076/07,MAAA0823375,Eastern Cape,OR Tambo,DOE,2162303.76,
SOKHULU PROMOTIONS,Mkhuseli Mkhanyisi,Sipika,2007/082038/23,MAAA0452640,Eastern Cape,OR Tambo,DOE,2151971.71,
MAYOLI TRADING ENTERPRISE,BULELWA,PIKA,2007/147762/23,MAAA0065913,Eastern Cape,Chris Hani,DOE,2145241.45,
"NDOKOSE TRADING &
PROJECTS PTY LTD",LUNGA,NDYULO,2015/220211/07,MAAA0082826,Eastern Cape,Buffalo City,DOE,2139998.07,
"VICTORY SIGN FARMING (PTY)
LTD",Nomaphelo Helen,Nduku,2018/217879/07,MAAA0631719,Eastern Cape,Buffalo City,DOE,2138506.86,
GOBAMAGEZA TRADING,lwazi,ndlangisa,2012/015433/07,MAAA0368900,Eastern Cape,Buffalo City,DOE,2133441.56,
"NMN GENERAL DEALERS
(canceled)",Mandisi,Njoba,2017/136845/07,MAAA0485988,Eastern Cape,Sarah Baartman,DOE,2132980.21,
GCIE TRADING AND SUPPLIERS,Lusapho,Mzakali,2010/029333/23,MAAA0910854,Eastern Cape,Amathole,DOE,2125043.85,
Malihlume,Vuyokazi,Nondabula,2014/160193/07,MAAA0096036,Eastern Cape,Buffalo City,DOH,2125000.00,
SIVUYOLO INVESTMENTS,Busisiwe Zintle,Sogoni,2009/089979/23,MAAA0389371,Eastern Cape,Nelson Mandela Bay,DOE,2120040.66,
NMV HOLDINGS,Ncedisa,Vanqa,2017/042986/07,MAAA0439526,Eastern Cape,Nelson Mandela Bay,DOE,2119386.59,
"MSHENGU PROJECTS AND
CONSULTANCY",Jimmy,Tshabalala,2003/058682/23,MAAA0612861,Eastern Cape,Joe Gqabi,DOE,2117831.16,
ZINDLOVU GROUP (PTY) LTD,Kgosietsile,Cossie,2013/191887/07,MAAA0098204,Eastern Cape,Nelson Mandela Bay,DOE,2116173.41,
LEPONDA TRADING (PTY) LTD,Fikile,Qata,2014/006818/07,MAAA0078921,Eastern Cape,Buffalo City,DOE,2093079.67,
Die Humansdorpse Kooperasie,Bennie,Mulder,1944/000003/24,MAAA0069161,Eastern Cape,Sarah Baartman,ECRDA,2093000.00,
"VUKA UGQAME GENERAL
TRADING",sibusiselo vuko,mtila,2016/132919/07,MAAA0224128,Eastern Cape,OR Tambo,DOE,2091604.63,
NOROTONE (PTY) LTD,Siphe,Mnyani,2014/078440/07,MAAA0608817,Eastern Cape,Nelson Mandela Bay,DOE,2087387.94,
SIME & MZWIDA,Simelwe Philip,Booi,2010/082377/23,MAAA0215775,Eastern Cape,Buffalo City,DOE,2078376.62,
KWAKHIWE CONSTRUCTION,Vuyisa,Mzayifani,2003/005884/23,MAAA0465902,Eastern Cape,Buffalo City,DOE,2078220.06,
LINOTO DEVELOPERS CC,Sipha,Mdlulwa,1999/025616/23,MAAA0004452,Eastern Cape,OR Tambo,DOE,2071891.99,
FLIPSIDE TRADING (PTY) LTD,Sibusiso,Nodayinge,2020/122538/07,MAAA0910327,Eastern Cape,Chris Hani,DOE,2071025.56,
SAM SAM TRADING (PTY)LTD,Zamajali,Nogwebela,2019/054453/07,MAAA0867918,Eastern Cape,Amathole,DOE,2069116.28,
"LUMDA TRADING
ENTERPRISES",Amanda,Ndema,2007/039285/23,MAAA0077866,Eastern Cape,Chris Hani,DOE,2065085.44,
"NGUTA - MABE SOLUTIONS
(PTY) LTD",Thembinkosi Oscar,Mhlanga,7.30904E+12,MAAA0032589,Eastern Cape,OR Tambo,DOE,2059185.06,
EVRAZ GENERAL TRADING,Siphenkosi,Voko,2016/471279/07,MAAA0443992,Eastern Cape,Amathole,DOE,2054891.82,
"SHARON DIVERSIFIED (PTY)
LTD",Nomvuzo Happiness,Nzimela,2013/185263/07,MAAA0205772,Eastern Cape,OR Tambo,DOE,2047773.56,
"INDAWO YAM BUSINESS
SOLUTIONS",Fika,Dani,2018/472911/07,MAAA0678245,Eastern Cape,Chris Hani,DOE,2043563.65,
GB IMMACULATE SOLUTIONS,Bathandwa,Ntswane,2015/086547/07,MAAA0450596,Eastern Cape,Buffalo City,DOE,2043481.09,
MBONZA ENTERPRISE,Pumlani,Msenge,2016/142984/07,MAAA0871031,Eastern Cape,Joe Gqabi,DOE,2043092.53,
"MATSHATHULA AGENCIES
AND PROJECTS",sanele,ndende,2008/042205/23,MAAA0138234,Eastern Cape,Joe Gqabi,DOE,2036699.72,
"QOONCE EVENTS AND
ENTERTAINMENT",Lonwabo,Mtimka,2014/169838/07,MAAA0454702,Eastern Cape,Nelson Mandela Bay,DOE,2034980.32,
"PHATHILIZWI TRAINING
INSTITUTE",Pumza Poshee,Gambula,2017/096970/07,MAAA0463194,Eastern Cape,OR Tambo,DOE,2032665.71,
AVG INVESTMENT,Aviwe,Guzana,2012/149898/07,MAAA0078088,Eastern Cape,Buffalo City,DOE,2029483.74,
AMKELWE TRADING,Thandiwe,Macingwane,2014/027454/07,MAAA0174050,Eastern Cape,OR Tambo,DOE,2028696.91,
LUNGISA AT WORK,Lungisa,Sigobelwana,2015/138670/07,MAAA0021285,Eastern Cape,Nelson Mandela Bay,DOE,2027113.72,
"LAMBANO SAFETY WEAR AND
EQUIPMENT (PTY) LTD",Siseko,Matshoba,2020/188083/07,MAAA0905258,Eastern Cape,Nelson Mandela Bay,DOE,2018141.97,
MZUKS PROPERTIES,Zukile,Khuzwayo,2007/249722/23,MAAA0329510,Eastern Cape,Joe Gqabi,DOE,2011844.13,
BIVA SERVICES (PTY) LTD,NOMAHLUBI,MALUMBAZO,2016/135792/07,MAAA0169530,Eastern Cape,Chris Hani,DOE,2010924.61,
"Valotype 248 t/a Vortex
Health",Amaran,Naransamy,2008/238724/23,MAAA0011592,Eastern Cape,Nelson Mandela,DOH,1998900.00,
KWANDIE TRADING CC,ZOLELA,BADI,2009/080440/23,MAAA0190812,Eastern Cape,OR Tambo,DOE,1997649.12,
BYXICEL (PTY) LTD,Mandla,Mbayimbayi,2018/037623/07,MAAA0820600,Eastern Cape,Joe Gqabi,DOE,1989900.90,
SHEMUNTU AND SONS,mondli,kozi,2013/132108/07,MAAA0698728,Eastern Cape,OR Tambo,DOE,1980096.04,
BUNCON GROUP (PTY) LTD,Ntembeko,Mase,2016/103663/07,MAAA0182536,Eastern Cape,Joe Gqabi,DOE,1978765.04,
BILLY AND GIVEN (PTY) LTD,Aphiwe Khangelani,Gashi,2014/060996/07,MAAA0101105,Eastern Cape,Amathole,DOE,1975454.80,
UKUAKHA PROJECTS,Thamotharan Chetty,Chetty,2011/095276/23,MAAA0024547,Eastern Cape,Chris Hani,DOE,1973334.46,
"THOBA MKANGISA AND
ASSOCIATES",Thoba Todd,Mkangisa,2007/086419/23,MAAA0022925,Eastern Cape,Nelson Mandela Bay,DOE,1972898.93,
"S-PROFILE ALUMINIUM
GUTTERS (PTY) LTD",Lubabalo,Mzamane,2016/219955/07,MAAA0774356,Eastern Cape,OR Tambo,DOE,1960616.64,
NDEX CONSULTING,Londeka,Ximba,2017/492924/07,MAAA0909773,Eastern Cape,Nelson Mandela Bay,DOE,1953050.08,
"MABOZELA TRADING AND
ENTERPRISE",Siyabonga,Manci,2008/044135/23,MAAA0092741,Eastern Cape,Joe Gqabi,DOE,1952007.55,
