buyer_name,,No.,items_description,supplier_name,order_amount_zar,Duration,award_date,bbbee_status,% Owned by black people,% Owned by youth,% Owned by black women ,% Owned by people with disabilities,order_number,COMMENTS 
Department of Mineral Resources and Energy (DMRE),Once-off services,13,"Procurement of Hand Sanitizers, Refills and Dispenser for Malimba Buildin",Ridge Enterprise,47550.00,Once-Off ,2020-03-17,Level 1,100%,0%,0%,0%,AH- 287464,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,14,Appointment of Biologica PhaITnacetical for the supply and delivery of 3000 face masks/ su ical masks,Biologica Pharmaceutical,79950.00,Once-Off ,2020-05-31,Level 1,100%,0%,100%,0%,OR-027415,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,15,Appointment of Multisurge (PTY) LTD for the supply and delivery of thl 30 di ital theITnometer,Multisurge (PTY) LTD,69000.00,Once-Off ,2020-05-31,Level 1,100%,0%,100%,0%,OR-027452,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,16,Appointment of SupraHealthcare for the supply of three-thouand (30) latex.g1oves,SupraHealthcare Johannesburg,3793.28,Once-Off ,2020-05-31,Level 1,100%,0%,100%,0%,OR-027451,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,17,Appointment of Morokgo Investment for the supply and delivery of seven-thousand 70001 face masks/ su lcal masks,Morokgo Investment,124600.00,Once-Off ,2020-05-31,Level 1,100%,0%,100%,0%,OR-027418,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,18,Appoitment of Ricokona Manufacturers and Suppliers to supply and deliver washable masks 3000,Ricokona Manufacturers and Suppliers,96255.00,Once-Off ,2020-05-31,Level 1,100%,0%,100%,0%,OR-027475,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,19,Appointment of Calvary Enterprises to provide satizinng and disinfecting Calvary Enterprises cc office services to the Ca TownR ional Office.,Calvary Enterprises cc,22428.10,Once-Off ,2020-05-31,Level 1,100%,0%,0%,0%,OR-027467,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,20,Appintment of Calvary Enterprises cc to provide sanitizing and dlsinfectin office services to the Ca Town R ional Office.,Calvary Enterprises cc,13397.50,Once-Off ,2020-05-31,Level 1,100%,0%,0%,0%,OR-027468,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,21,Appointment of Masana Hygiene Services to provide sanHizing and disinfectin office services to the Klmberf Re ional Offices.,Masana Hygiene Services,9188.07,Once-Off ,2020-05-31,Level 1,100%,0%,100%,0%,OR-027466,Delivered 
Department of Mineral Resources and Energy (DMRE),Once-off services,22,Appointment of Masana Hygiene Services to provide sanitizing and disinfectin office services to the Welkom R ional Offices.,Masana Hygiene Services,15249.00,Once-Off ,2020-05-31,Level 1,100%,0%,100%,0%,OR-027460,Delivered 
