buyer_name,implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
Department of Justice and Constitutional Development, DPP Mthatha,2020-05-21,PHUMAPHAMBILI AGRICULTURE AND TEXTILE AND MULTI-PURPOSE CO-OPERATIVE LIMITED,RE-USABLE FACE MASKS - DPP MTHATHA,,,,7250,None
Department of Justice and Constitutional Development, DPP Mthatha,2020-05-25,ONLYN BIZ ENTERPRISE,SANITIZERS x 145 - DPP MTHATHA,,,,49010,None
Department of Justice and Constitutional Development, DPP Mthatha,2020-06-15,,Face masks,30,160,160,4800,None
Department of Justice and Constitutional Development, DPP Mthatha,2020-06-15,,Face masks,30,160,160,4800,None
Department of Justice and Constitutional Development, DPP North West,2020-04-02,Shoprite,Batteries for temperature scanner,39.9,4,4,39.9,None
Department of Justice and Constitutional Development, DPP North West,2020-03-18,Tshoetso Entle General Trading,Sanitisers (1 L),237.5,21,21,4987.5,None
Department of Justice and Constitutional Development, DPP North West,2020-03-19,Danie Meyer pharmacy,Sanitisers (Hand per 50 ml),16,212,212,3392,None
Department of Justice and Constitutional Development, DPP North West,2020-03-25,Tshoetso Entle General Trading,Gloves - (Boxes of 100),175,3,3,525,None
Department of Justice and Constitutional Development, DPP North West,2020-03-26,Qaphela Risk Innovation,Masks,9.5,780,780,7410,None
Department of Justice and Constitutional Development, DPP North West,2020-02-04,NWK,Sanitizer (5L),611.8,1,1,611.8,None
Department of Justice and Constitutional Development, DPP North West,2020-05-19,African Poncho,3 layer washable masks,25,300,300,7500,None
Department of Justice and Constitutional Development, DPP North West,2020-06-09,Ikageleng Infrastructure Projects,Foot Operated Sanitisers stands,900,2,2,1800,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-03-19,Royal Phamarcy,Face mask,50,1,1,50,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-03-19,Royal Phamarcy,Latex gloves,75,6,6,450,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-03-19,Workwear Depot,Clear specs,29,4,4,116,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-03-22,Basix,330 ml spray bottle,15,10,10,150,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-03-22,Basix,21 L Pride clear storage box,63,3,3,189,None
Department of Justice and Constitutional Development, DPP Pietermaritzburg,2020-03-22,Basix,750 ml spray bottle,10,20,20,200,None
