,,DI,Knapsack sprayers,16 Litres Spray pump,,Each,"R1 600,00 1250","R2 000 000,00 | AG Medicals",,,,
,,,TI,Infrared Non Contact,TI,Each,"R2 400,00 2000","R4 800 000,00 i Trading 622 CC",,,,
,,DI,Knapsack sprayers,16 Litres Spray pump,,Each,"R1 720,00 111","R190 920,00 Newtrack",,,,
,,,Advert : Radio,Advert Radio,,3 times per day,"R17 043,00 3","R51 129,00 Gagasi FM",,,,
,,,Advert : Radio,Advert Radio,,3 times per day,"R43 101,04 3","R129 303,12 Media Mark",,,,
Education  Education Education Education Education Education Education Education Education Education  Advert Education Education Education Education Education Education Education Education,,2020/05/22 2020/08/08 2020/06/06  Advert  DasignSi 2020/06/06 2020/05/22 2020/05/22  T  Infrared 2020/05/22 2020/05/22 2020/08/17 2020/06/17 2020/08/17 2020/06/30 2020/06/26 2020/06/06 2020/05/22 2020/05/22 2020/06/15 2020/06/17  TI  Infrared | PPE Themometers: Themometers: Dis Sanitizers Dispensers Dispensers Advertisements | Advert: Newspaper Advertisoments | Advert: Newspaper Gloves Other PPE,Advert TI Advert Advert Apron Gloves: Cuff-length High Thermometers: Thermometers: T TI TI Soap Knapsack sprayers Knapsack sprayers Protective Clothing Knapsack sprayers Provide Details - Liquid : Radio : : Newspaper :,"Advert Radio Advert Risk | Re-usable gloves Infrared Infrared Infrared Infrared Infrared Infrared Advert news| Woven coveralls Spray pump (16Litres) Spray pump Spray pump Storage, decanting, transportation, labelling and distribution of donated sanitisers. Re-usable Aprons Posters Banners on Covid-19 Non Contact thermometers: Non Contact thermometers: Liquid soap",to schools A4/150gms gloss on Covid-19 16 Litres  Each 16 Litres,Each Each Each Each Each   Once off 3 times per day Once off Each Each Each Each Each Each Each Each Each Each Each Each Each Each,"R49 346,50 R80,00. R2,50 R76,00 R223 450,56 R165 425,55 R1 R157,25 RS& 000,00 RO,25 R1 R2 300,00 R2 049,00 R2 527,70 R2 250,00 R1 R180,00 R2 300,00 R11 R1 R2 400,00. R119,60 R1 478,26 700,00 955,00 590,00 600,00 715 364,00 3 6000 2000 27200 750000 75000 2000 300 30000 300 2000 21800 1 1 1 1500 1000 1500 1000 1000 1000 1000 1","R148 039,50 | R5400 000,00  [8S88o Bulsinuests i onsCC | R223 450,56 R165 425,55 R480 000,00 R2 956 520,00 | Empire Power Ré4 277 200,00 | KA-Myaluza (Pty) R5 000,00 R187 500,00 R187 500,00 R114 000,00 R1 R3 450 000,00 R2 049 000,00 R2 527 700,00 | Siyabonga R4 500 0 00,00 R586 500,00 R2 300 000,00 | Trufix Industrial Services CC R477 000,00 R1 R4 800 000,00 | Bonganjalo Holdings R2 607 280,00 | Oshlanga Enterprises R1 700 000,00  | Khanyisile Agenc y 600 000,00 715 364,00 | African Grey Trading | K and | Neosta Electr onic Distributors | Sipho Segugu Trading | Magamedge Trading and Projects 247 Printers and Advertising 247 Printers and Advertising 247 Printers and Advertising 247 Printers and Advertising Ukhozi FM Bulum Trading Umshiniwam Trading Enterprise I Independent llanga newspaper L Consulting Industrial Services Ltd",,,,
,,,,,,,ae,,,,,
INSTITUTION,,|,,yale ae,,NT a,ol i saierda  —E rQUaAtLtITeY,a odd ES,,,,
,,,,,,,incl.,,,,,
2020/03/16,,,Disinfectant,Sanitizer/ Disinfectant,,"Single Unit  RS7,50  40000",,"R2  300 000,00 | Logan Medical & Surgical (Pty)",Ltd,,,
Health 2020/03/16 | PPE,,,Isolation Gown,Isolation Gown,,Single Unit,"R28,75 40000","R1 150 000,00  | Logan Medical &  Surgical (Pty)",Ltd,,,
Health 2020/03/16 | Maske,,,Mask jie,‘Surgical Mask - 3-Ply - Ear Loop,,Single Unit,"R12,65 200000","R2 530 000,00 | Logan Medical & Surgical (Pty)",Ltd,,,
Health 2020/03/16,,| Masks,Respirator,Particulate Respirator (Mask) NOS/FFP2,,Single Unit,"R48,88 100000","R4 887 500,00 | RMA Consulting",,,,
Health,,Gloves,Gloves: ination,{Latex) | Gloves: ination (Latex),,Box,"R68,70 10000","R687 000,00",,,,
Health,,Masks,Mask,‘Surgical Mask - 3-Ply - Ear Loop,,Single Unit,"R12,50 100000","R1 250 000,00 Trading (Pty) Ltd",,,,
Health 2020/03/24 |,,Gloves,Gloves: Examination (Latex) | Gloves: Examination (Latex),,,Box,"R91,41 5000","R457 067,50 Safarmex",,,,
Health,,Gloves,Gloves:,(Latex) | Gloves: (Latex),,Box,"R91,41 10000","R914 135,00",,,,
Health,,Masks,Respirator,Particulate Respirator (Mask) N9S/FFP2,,Single Unit,"R57,00 10000","R570 000,00 | Trading (Pty) Ltd",,,,
Health,,PPE,Scrub Sutte - Shirt,‘Scrub Sulte - Shirt,,Case,"R20,16 4320","R87 088,50 O and M Halyard South Africa",,,,
Health,,PPE,Scrub Suite - Pants,Scrub Suite - Pants,,Case,"R31,75 4320","R137 143,80 O and M Halyard South Africa",,,,
Health,,Gloves,Gloves: Cufftength,High Risk | Gloves: Cuff-length High Risk,,Box,"R212,80 800","R170 236,80 O and M Halyard South Africa",,,,
Health,,iti,Disinfectar,Sanitizer’ Disi,,Single Unit,"R167,87 40000","R6 714 620,00 | Carovisi:",,,,
Health,,PPE,Visor/ Face-Shleld,Visor! Face-Shleld,,Single Unit,"R18,00 20000","R360 000,00 Unitrade",,,,
Health,,PPE,Goggles,Goggles  Single Unit,,,"R30,56 8500","R336 260,00",,,,
Health,,Masks,Respirator,Particulate Respirator (Mask) N95/FFP2,,Single Unit,"R90,85. 20000","R1 817 000,00 | Juba Fly",,,,
