Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DPP Mpumalanga,3/25/2020,Michem Cleaning Supplies,trigger white,             7 .75,8,                                 58.90,None
DPP Mpumalanga,3/25/2020,Michem Cleaning Supplies,Anti Bac Foam hand sanitizer,           90.86,6,                              517.90,None
DPP Mpumalanga,3/31/2020,Mopani Pharmacy,Aloe Unique Hand cleanser 100ml,           32.90,20,                               658.00,None
DPP Mpumalanga,3/31/2020,SuperSpar Crossings,Twinsaver Hand wipes,           29.99,15,                               449.85,None
DPP Mpumalanga,4/1/2020,Mopani Pharmacy,Aloe Unique Hand cleanser 100ml,           32.90,15,                               493.50,None
DPP Mpumalanga,4/1/2020,Spar Courtside,Toilet Paper white 2p 18's,           89.99,1,                                 89.99,None
DPP Mpumalanga,4/1/2020,SuperSpar Crossings,Twinsaver Hand wipes,           29.99,15,                               449.85,None
DPP Mpumalanga,4/17/2020,Sovereighty Kingdom,Cloth Face Masks,           15.00,136,"                            2,040.00",None
DPP Mpumalanga,4/29/2020,Clicks Pharmacy,sanitizers,           29.98,33,                               989.60,None
DPP Mpumalanga,4/29/2020,Sovereighty Kingdom,Cloth Face Masks,           15.00,84,"                            1,060.00",None
DPP Mpumalanga,4/29/2020,Sovereighy Kingdom,Cloth face masks,          15.00,220,"                            3,300.00",face masks
DPP Mpumalanga,5/4/2020,West Pack lifestyle,1.5l magic hand gel,           89.90,14,"                            1,258.60",hand sanitizers
DPP Mpumalanga,5/18/2020,DIKARABO TRADING CO-OPERATIVE LIMITED,RE-USABLE FACE MASKS - MPUMALANGA,,,"                            8,800.00",None
DPP Mpumalanga,5/25/2020,RINGANI GOODS AND SERVICES,SANITIZERS x 176 - DPP MPUMALANGA,,,"                          29,920.00",None
DPP Mpumalanga,6/2/2020,Michem Cleaning Supplies,plastic bottle 750ml,             4 .50,8,                                 36.00,plastic bottle 750ml
DPP Mpumalanga,6/2/2020,Michem Cleaning Supplies,trigger yellow,           12.00,8,                                 96.00,trigger yellow
DPP Mthatha,4/3/2020,Mdeira Pharmacy,Gloves,,20 boxes,"                            1,417.60",None
DPP Mthatha,4/8/2020,Exclusive Brands Cleaning Products,Sanitisers,         434.78,2 x 5L,                               999.99,None
DPP Mthatha,4/14/2020,Taboola Textile,Facial mask,           16.00,160 masks,"                            2,560.00",None
DPP Mthatha,4/15/2020,Charlene Sanitizers,Sanitisers,        500.00,7 x 5L,"R                            3,500.00",None
DPP Mthatha,5/19/2020,B T N N GENERAL TRADING,FACE SHIELDS x 100,,,"                            5,000.00",None
DPP Mthatha,5/20/2020,SanitiZAEC,Pedal Handstands,         650.00,2,"                            1,300.00",None
DPP Mthatha,5/21/2020,PHUMAPHAMBILI AGRICULTURE AND TEXTILE AND MULTI-PURPOSE CO-OPERATIVE LIMITED,RE-USABLE FACE MASKS - DPP MTHATHA,,,"                            7,250.00",None
DPP Mthatha,5/25/2020,ONLYN BIZ ENTERPRISE,SANITIZERS x 145 - DPP MTHATHA,,,"                          49,010.00",None
DPP Mthatha,6/15/2020,,Face masks,           30.00,160,"                            4,800.00",None
DPP Mthatha,6/15/2020,,Face masks,           30.00,160,"                            4,800.00",None
DPP North West,2/4/2020,Shoprite,Batteries for temperature scanner,           39.90,4,                                 39.90,None
DPP North West,3/18/2020,Tshoetso Entle General Trading,Sanitisers (1 L),         237.50,21,"                            4,987.50",None
DPP North West,3/19/2020,Danie Meyer pharmacy,Sanitisers (Hand per 50 ml),           16.00,212,"                            3,392.00",None
DPP North West,3/25/2020,Tshoetso Entle General Trading,Gloves - (Boxes of 100),         175.00,3,                              525.00,None
DPP North West,3/26/2020,Qaphela Risk Innovation,Masks,             9 .50,780,"                            7,410.00",None
DPP North West,4/2/2020,NWK,Sanitizer (5L),         611.80,1,                              611.80,None
DPP North West,5/19/2020,African Poncho,3 layer washable masks,           25.00,300,"                           7,500.00",None
DPP North West,9/6/2020,Ikageleng Infrastructure Projects,Foot Operated Sanitisers stands,         900.00,2,"                            1,800.00",None
DPP Pietermaritzburg,3/19/2020,Royal Phamarcy,Face mask,           50.00,1,                                 50.00,None
DPP Pietermaritzburg,3/19/2020,Royal Phamarcy,Latex gloves,           75.00,6,                              450.00,None
DPP Pietermaritzburg,3/19/2020,Workwear Depot,Clear specs,           29.00,4,                               116.00,None
DPP Pietermaritzburg,3/22/2020,Basix,330 ml spray bottle,           15.00,10,                              150.00,None
DPP Pietermaritzburg,3/22/2020,Basix,21 L Pride clear storage box,           63.00,3,                              189.00,None
DPP Pietermaritzburg,3/22/2020,Basix,750 ml spray bottle,           10.00,20,                               200.00,None
DPP Pietermaritzburg,3/22/2020,Phoenix Cash & Carry,Latex gloves,           79.99,5,                               399.95,None
DPP Pietermaritzburg,3/23/2020,Evolution Chemicals,20L Instant hand sanitizer,         600.00,3,"                            1,800.00",None
DPP Pietermaritzburg,4/8/2020,Inspired Bunny,Reusable cloth mask,           40.00,100,"                            4,000.00",None
DPP Pietermaritzburg,4/8/2020,Inspired Bunny,Reusable cloth mask,           40.00,120,"                            4,800.00",None
DPP Pietermaritzburg,4/23/2020,Inspired Bunny,Reusable cloth mask,           40.00,100,"                            4,000.00",None
DPP Pietermaritzburg,4/28/2020,Inspired Bunny,Reusable cloth mask,           40.00,100,"                            4,000.00",None
DPP Pietermaritzburg,4/29/2020,Shelving & Mezzanine,Essential Screen 600hx600w,         489.90,1,                               489.90,None
DPP Pietermaritzburg,5/20/2020,ZAKHANYA FITNESS,RE-USABLE FACE MASKS - DPP PIETERMARIZBURG AND DURBAN,,,"                          21,420.00",None
DPP Pietermaritzburg,5/25/2020,ZAKHANYA FITNESS,Face cloth mask re-useable,           18.00,288,"                            5,184.00",None
DPP Pietermaritzburg,5/26/2020,MBUYISA HOLDINGS,SANITIZERS x 595 - DPP PMB AND DURBAN,,,"                       177,905.00",None
DPP Pietermaritzburg,6/9/2020,Inspired Bunny,Hand Sanitizer stands,         699.00,2,"                            1,398.00",None
DPP Pietermaritzburg,6/12/2020,Mbuyisa Holdings (PTY) LTD,5l Hand Sanitizer,         299.00,282,"                         84,318.00",None
DPP PORT ELIZABETH,6/1/2020,Decontimination of offices,Decontamination,0,0,"                            3,750.00",None
DPP Pretoria,3/16/2020,Reggae Products,Reggae Hand cleaner 300ml,           21.00,95 Bottles,"                            1,995.00",None
DPP Pretoria,3/17/2020,Sweet Penny,Focus Nitri Gloves BL,         130.00,01 Box,                               130.00,None
DPP Pretoria,3/18/2020,Lynnwood Pharmacy,VIT Surgical Face Masks,           22.95,5PC X 6,                               137.70,None
DPP Pretoria,3/26/2020,Perfume Corner,reusable masks,           30.00,12 Packets,                               360.00,None
DPP Pretoria,3/26/2020,Perfume Corner,NatureX Hand Sanitizer,         800.00,3x 5litres,"                            2,400.00",None
DPP Pretoria,3/26/2020,Riz Trading,Face Masks Disposable,             9 .15,10 Ea,                                 91.50,None
DPP Pretoria,3/26/2020,Riz Trading,Face Masks Reusable,           30.00,55 Ea,"                            1,650.00",None
DPP Pretoria,3/26/2020,Riz Trading,Face Masks Disposable,             9 .15,10 Ea,                                 91.50,None
DPP Pretoria,3/29/2020,Dis Chem The Glen,Mask Dust FFP1,           49.95,30 Ea,"                            1,498.50",None
DPP Pretoria,4/24/2020,X CO Group,Vimbela Double Ply Plain Navy Masks,           19.99,400 Ea,"                            9,195.00",None
DPP Pretoria,5/12/2020,Pailesh PTY (LTD),2 Ply Facemasks,           28.00,250,"                            7,000.00",None
DPP Pretoria,5/18/2020,FORTISTLE,RE-USABLE FACE MASKS - PRETORIA,,,"                          18,485.10",None
DPP Pretoria,5/26/2020,OFFF,SANITIZERS x 423 - DPP PRETORIA,,,"                       125,982.09",None
DPP Pretoria,18/06/2020,TN Glass & Alluminium,Sanitizer Foot Operating Stand,500,10,"                            5,000.00",None
DPP Western Cape,3/19/2020,M Distribution,hand sanitizer (200ml),          75.00,12,                               900.00,None
DPP Western Cape,3/19/2020,M Distribution,Hand sanitizer (5 L),         660.00,2,"                            1,320.00",None
DPP Western Cape,3/19/2020,Medi care Pharmacy,Disposable Gloves,        138.95,5,                               694.75,None
DPP Western Cape,3/19/2020,Medi care Pharmacy,Disposable Gloves,           95.94,10,                               959.40,None
DPP Western Cape,3/24/2020,AM Machine Shop,Steri Stand,         419.16,6,"                            2,515.00",None
DPP Western Cape,4/16/2020,Oh Darling Standpoint,Reusable Cloth Facemasks,         166.00,30,"                            4,980.00",None
DPP Western Cape,4/16/2020,Oh Darling Standpoint,Reusable Cloth Facemasks,         300.00,30,"                            9,000.00",None
DPP Western Cape,4/29/2020,AK Manufacturing,Reusable Cloth Facemasks,           10.00,800,"                            8,000.00",None
DPP Western Cape,28-May-20,Oh Darling Standpoint,Hand Sanitizers,5 80.00,15,"                            8,700.00",None
DPP Western Cape,18-May-20,Decontamination of offices,Decontamination,,,"                          16,353.00",None
DPP Western Cape,9-Jun-20,Decontamination of offices,Decontamination,,,"                          16,353.00",None
DPP Western Cape,29-Jun-20,Decontamination of offices,Decontamination,,,"                          16,353.00",None
NPA Head Office,3/23/2020,The amount for services was R 49059.00 per decontamination.,GLOVES x 5 000 BOXES OF 100 - COVID-19,           49.86,5000 X Boxes of 100,"                       249,300.00",None
NPA Head Office,3/24/2020,TARA TECHNOLOGIES,CONTAINERS x 50 x 25LT,         125.00,50,"                            6,250.00",None
NPA Head Office,3/24/2020,VITAL LIFE MEDICAL DISTRIBUTORS,SANITIZER - DETERGENT x 2000,           40.37,2,"                          80,740.00",None
NPA Head Office,3/24/2020,LECHOBA MEDICAL TECHNOLOGIES,HAND SANITIZER x 5000 - 500ml,           60.75,5,"                       303,750.00",None
NPA Head Office,3/25/2020,SHANEAL DISTRIBUTORS,SANITIZER - 23 x 5LT and 4600 X 100ML,"  177,100.00","23 X5LT
4600 X 100ML","                       177,100.00",None
NPA Head Office,4/14/2020,ARJO HUNTLEIGH SOUTH AFRICA,SICK BEDS x 15,"      1,565.30",15,"                          23,479.50",None
NPA Head Office,4/20/2020,Imperial Health Sciences,PPE - FACE SHIELDS,             9 .00,5,"                          45,000.00",None
NPA Head Office,5/15/2020,T M C TRADING,NON-CONTACT INFRARED THERMOMETERS x 9,,,"                          15,192.45",None
NPA Head Office,7/1/2020,Decontimination of offices,Decontamination,0,0,"                         94,522.40",None
NPA Head Office - AFF,3/19/2020,REBOSIS PROPERTY FUND,Sanitiser Liquid 5Lt,         545.10,10,"                            5,451.00",None
NPA Head Office - AFF,3/19/2020,REBOSIS PROPERTY FUND,Latex gloves,"      1,454.75",1,"                            1,454.75",None
NPA Head Office - AFF,3/19/2020,REBOSIS PROPERTY FUND,Latex gloves,"      1,454.75",1,"                            1,454.75",None
NPA Head Office - AFF,3/19/2020,REBOSIS PROPERTY FUND,Sanitiser Spray Bottles - 100ml,           49.45,900,"                         44,505.00",None
NPA Head Office - AFF,3/25/2020,REBOSIS PROPERTY FUND,Hand Sanitisers,         177.10,5,                               885.50,None
NPA Head Office - AFF,3/26/2020,REBOSIS PROPERTY FUND,Sanitiser Sachets (100X2ml),         431.25,37,"                          15,956.25",None
NPA Head Office - AFF,4/1/2020,REBOSIS PROPERTY FUND,Surface Disinfectant,           34.50,500,"                         17,250.00",None
