implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
 DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh hh w/l h/clrn 60ml,11.99,15,15,179.85,None
 DPP Mpumalanga,2020-03-24,Clicks Pharmacy,osh helping hand 60ml,11.99,45,45,539.55,None
 DPP Mpumalanga,2020-03-24,Michem Cleaning Supplies,plastic bottle 750ml,4.00,8,8,30.40,None
 DPP Mpumalanga,2020-03-24,Michem Cleaning Supplies,trigger red,7.75,8,8,58.90,None
 DPP Mpumalanga,2020-03-24,Michem Cleaning Supplies,Anti Bac Foam hand sanitizer,90.85,7,7,604.22,None
 DPP Mpumalanga,2020-03-24,Michem Cleaning Supplies,Synbac,129.44,9,9,1106.71,None
 DPP Mpumalanga,2020-03-24,Mopani Pharmacy,gloves nitrile p/f iltra,94.90,12,12,1138.80,None
 DPP Mpumalanga,2020-03-25,Michem Cleaning Supplies,plastic bottle 750ml,6.13,8,8,46.99,None
 DPP Mpumalanga,2020-03-25,Michem Cleaning Supplies,trigger white,7.75,8,8,58.90,None
 DPP Mpumalanga,2020-03-25,Michem Cleaning Supplies,Anti Bac Foam hand sanitizer,90.86,6,6,517.90,None
 DPP Mpumalanga,2020-03-31,Mopani Pharmacy,Aloe Unique Hand cleanser 100ml,32.90,20,20,658.00,None
 DPP Mpumalanga,2020-03-31,SuperSpar Crossings,Twinsaver Hand wipes,29.99,15,15,449.85,None
 DPP Mpumalanga,2020-01-04,Mopani Pharmacy,Aloe Unique Hand cleanser 100ml,32.90,15,15,493.50,None
 DPP Mpumalanga,2020-01-04,Spar Courtside,Toilet Paper white 2p 18's,89.99,1,1,89.99,None
 DPP Mpumalanga,2020-01-04,SuperSpar Crossings,Twinsaver Hand wipes,29.99,15,15,449.85,None
 DPP Mpumalanga,2020-04-17,Sovereighty Kingdom,Cloth Face Masks,15.00,136,136,2040.00,None
 DPP Mpumalanga,2020-04-19,Clicks Pharmacy,sanitizers,29.98,33,33,989.60,None
 DPP Mpumalanga,2020-04-19,Sovereighty Kingdom,Cloth Face Masks,15.00,84,84,1060.00,None
 DPP Mpumalanga,2020-04-19,Sovereighy Kingdom,Cloth face masks,15.00,220,220,3300.00,face masks
 DPP Mpumalanga,2020-04-05,West Pack lifestyle,1.5l magic hand gel,89.90,14,14,1258.60,hand sanitizers
 DPP Mpumalanga,2020-05-18,DIKARABO TRADING CO-OPERATIVE LIMITED,RE-USABLE FACE MASKS - MPUMALANGA,,,,8800.00,None
 DPP Mpumalanga,2020-05-25,RINGANI GOODS AND SERVICES,SANITIZERS x 176 - DPP MPUMALANGA,,,,29920.00,None
 DPP Mpumalanga,2020-02-06,Michem Cleaning Supplies,plastic bottle 750ml,4.50,8,8,36.00,plastic bottle 750ml
 DPP Mpumalanga,2020-02-06,Michem Cleaning Supplies,trigger yellow,12.00,8,8,96.00,trigger yellow
 DPP Mthatha,2020-03-04,Mdeira Pharmacy,Gloves,,,20 boxes,1417.60,None
 DPP Mthatha,2020-08-04,Exclusive Brands Cleaning Products,Sanitisers,434.78,,2 x 5L,999.99,None
 DPP Mthatha,2020-04-14,Taboola Textile,Facial mask,16.00,,160 masks,2560,None
 DPP Mthatha,2020-04-15,Charlene Sanitizers,Sanitisers,500.00,,7 x 5L,3500.00,None
 DPP Mthatha,2020-05-19,B T N N GENERAL TRADING,FACE SHIELDS x 100,,,,5000.00,None
 DPP Mthatha,2020-05-20,SanitiZAEC,Pedal Handstands,650.00,2,2,1300.00,None
 DPP Mthatha,2020-05-21,PHUMAPHAMBILI AGRICULTURE AND TEXTILE AND MULTI-PURPOSE CO-OPERATIVE LIMITED,RE-USABLE FACE MASKS - DPP MTHATHA,,,,7250.00,None
 DPP Mthatha,2020-05-25,ONLYN BIZ ENTERPRISE,SANITIZERS x 145 - DPP MTHATHA,,,,49010.00,None
 DPP Mthatha,2020-06-15,,Face masks,30.00,160,160,4800.00,None
 DPP Mthatha,2020-06-15,,Face masks,30.00,160,160,4800.00,None
 DPP North West,2020-04-02,Shoprite,Batteries for temperature scanner,39.90,4,4,39.90,None
 DPP North West,2020-03-18,Tshoetso Entle General Trading,Sanitisers (1 L),237.50,21,21,4987.5,None
 DPP North West,2020-03-19,Danie Meyer pharmacy,Sanitisers (Hand per 50 ml),16.00,212,212,3392,None
 DPP North West,2020-03-25,Tshoetso Entle General Trading,Gloves - (Boxes of 100),175.00,3,3,525.00,None
 DPP North West,2020-03-26,Qaphela Risk Innovation,Masks,9.50,780,780,7410.00,None
 DPP North West,2020-02-04,NWK,Sanitizer (5L),611.80,1,1,611.80,None
 DPP North West,2020-05-19,African Poncho,3 layer washable masks,25.00,300,300,7500.00,None
 DPP North West,2020-06-09,Ikageleng Infrastructure Projects,Foot Operated Sanitisers stands,900.00,2,2,1800.00,None
 DPP Pietermaritzburg,2020-03-19,Royal Phamarcy,Face mask,50.00,1,1,50.00,None
 DPP Pietermaritzburg,2020-03-19,Royal Phamarcy,Latex gloves,75.00,6,6,450.00,None
 DPP Pietermaritzburg,2020-03-19,Workwear Depot,Clear specs,29.00,4,4,116.00,None
 DPP Pietermaritzburg,2020-03-22,Basix,330 ml spray bottle,15.00,10,10,150.00,None
 DPP Pietermaritzburg,2020-03-22,Basix,21 L Pride clear storage box,63.00,3,3,189.00,None
 DPP Pietermaritzburg,2020-03-22,Basix,750 ml spray bottle,10.00,20,20,200.00,None
 DPP Pietermaritzburg,2020-03-22,Phoenix Cash & Carry,Latex gloves,79.99,5,5,399.95,None
 DPP Pietermaritzburg,2020-03-22,Evolution Chemicals,20L Instant hand sanitizer,600.00,3,3,1800.00,None
 DPP Pietermaritzburg,2020-08-04,Inspired Bunny,Reusable cloth mask,40.00,100,100,4000.00,None
 DPP Pietermaritzburg,2020-08-04,Inspired Bunny,Reusable cloth mask,40.00,120,120,4800.00,None
 DPP Pietermaritzburg,2020-04-23,Inspired Bunny,Reusable cloth mask,40.00,100,100,4000.00,None
 DPP Pietermaritzburg,2020-04-28,Inspired Bunny,Reusable cloth mask,40.00,100,100,4000.00,None
 DPP Pietermaritzburg,2020-04-29,Shelving & Mezzanine,Essential Screen 600hx600w,489.90,1,1,489.90,None
 DPP Pietermaritzburg,2020-05-20,ZAKHANYA FITNESS,RE-USABLE FACE MASKS - DPP PIETERMARIZBURG AND DURBAN,,,,21420,None
 DPP Pietermaritzburg,2020-05-25,ZAKHANYA FITNESS,Face cloth mask re-useable,18.00,288,288,5184.00,None
 DPP Pietermaritzburg,2020-05-26,MBUYISA HOLDINGS,SANITIZERS x 595 - DPP PMB AND DURBAN,,,,177905.00,None
 DPP Pietermaritzburg,2020-09-06,Inspired Bunny,Hand Sanitizer stands,699.00,2,2,1398.00,None
 DPP Pietermaritzburg,2020-12-06,Mbuyisa Holdings (PTY) LTD,5l Hand Sanitizer,299.00,282,282,84318.00,None
 DPP PORT ELIZABETH,2020-01-06,Decontimination of offices,Decontamination,,,0,3750.00,None
 DPP Pretoria,2020-03-16,Reggae Products,Reggae Hand cleaner 300ml,21.00,95,95 Bottles,1995.00,None
 DPP Pretoria,2020-03-17,Sweet Penny,Focus Nitri Gloves BL,130.00,,01 Box,130.00,None
 DPP Pretoria,2020-03-18,Lynnwood Pharmacy,VIT Surgical Face Masks,22.95,,5PC X 6,137.70,None
 DPP Pretoria,2020-03-26,Perfume Corner,reusable masks,30.00,,12 Packets,360.00,None
