buyer_name,supplier_name,bbbee_status,items_description,items_quantity,items_unit,"(f) Average unit
 price","(g) Date of
 applicable
 National
 Treasury price",order_amount_zar,"(i) Turnaround
 time of
 payment"
Legal Aid South Africa, Dischem,N/A,"Gloves, Sanitisers and masks",,N/A,N/A,N/A,1470,30 days
Legal Aid South Africa, Bidvest Steiner,N/A,Sanitiser,,N/A,N/A,N/A,1468.9,30 days
Legal Aid South Africa, ,N/A,,,N/A,N/A,N/A,473,30 days
Legal Aid South Africa, Dischem,N/A,"Gloves, Sanitisers and masks",,N/A,N/A,N/A,1169.8,30 days
Legal Aid South Africa, Clicks,N/A,Sanitisers & Jik Bleach ,,N/A,N/A,N/A,895,30 days
Legal Aid South Africa, Lwamanyanda Trading,Level 1 BEE contributor,"wipes,Sanitisers,Disinfectants",,N/A,N/A,N/A,37355,30 days
Legal Aid South Africa, Clicks,N/A,Handsanitiser and gloves,,N/A,N/A,N/A,350,30 days
Legal Aid South Africa, Sajin Cleaning Suppliers,N/A,Hand Sanitisers,,N/A,N/A,N/A,1290,30 days
Legal Aid South Africa, Unknown Supplier,N/A,Masks,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Qualchem,N/A,Hand Sanitiser,,N/A,N/A,N/A,65,30 days
Legal Aid South Africa, Clicks,N/A,Sanitizer and Gloves,,N/A,N/A,N/A,70.43,30 days
Legal Aid South Africa, This and That,N/A,Ant bacterial Soap,,N/A,N/A,N/A,145.48,30 days
Legal Aid South Africa, This and That,N/A,Alcohol base Sanitizer,,N/A,N/A,N/A,150,30 days
Legal Aid South Africa, This and That,N/A,Sanitizer,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Right Price,N/A,Containers,,N/A,N/A,N/A,28,30 days
Legal Aid South Africa, Coldre Investments,N/A,Cloth Masks,,N/A,N/A,N/A,999,30 days
Legal Aid South Africa, This and That,N/A,Gloves,,N/A,N/A,N/A,300,30 days
Legal Aid South Africa, Qualchem,N/A,Hand Sanitisers,,N/A,N/A,N/A,1744,30 days
Legal Aid South Africa, Qualchem,N/A,Clothmasks,,N/A,N/A,N/A,1830.9,30 days
Legal Aid South Africa, Sajin Cleaning Services,N/A,Cloth masks,,N/A,N/A,N/A,1170,30 days
Legal Aid South Africa, Pick and Pay,N/A,Hand sanitisers,,N/A,N/A,N/A,114.99,30 days
Legal Aid South Africa, Alpha Pharmacy,N/A,hand sanitisers,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Quickmed,N/A,Face Masks,,N/A,N/A,N/A,400,30 days
Legal Aid South Africa, Clicks,N/A,Medium gloves,,N/A,N/A,N/A,105,30 days
Legal Aid South Africa, Alpha Pharmacy,N/A,"large latex gloves, Masks",,N/A,N/A,N/A,659.5,30 days
Legal Aid South Africa, Clicks,N/A,large gloves,,N/A,N/A,N/A,108,30 days
Legal Aid South Africa, Local Pharmacy,N/A,"Gloves , saniters and  masks",,N/A,N/A,N/A,1900,30 days
Legal Aid South Africa, Sajini Cleaning Services,N/A,"Masks,gloves, sanitizers",,N/A,N/A,N/A,1715,30 days
Legal Aid South Africa, Spar,N/A,Sanitisers,,N/A,N/A,N/A,449.5,30 days
Legal Aid South Africa, Clicks,N/A,Gloves,,N/A,N/A,N/A,110,30 days
Legal Aid South Africa, Clean Station,N/A,mask and sanitiser,,N/A,N/A,N/A,2000,30 days
Legal Aid South Africa, Dada Alcool Sanitiser,N/A,Alcohol Saniters,,N/A,N/A,N/A,570,30 days
Legal Aid South Africa, Hi Tech Medical Care supplies,N/A,Sanitizers and Gloves,,N/A,N/A,N/A,934.72,30 days
Legal Aid South Africa, CLEAN STATION,N/A,Masks,,N/A,N/A,N/A,950,30 days
Legal Aid South Africa, JK Retailers,N/A,Masks,,N/A,N/A,N/A,640,30 days
