buyer_name,supplier_name,items_description,order_amount_zar
Home Affairs,Universal Safety Porducts,Mask- Other (Head Office),619275
Home Affairs,Baju,Sanitisers (Head Office),55000
Home Affairs,Balu,Disinfectants (Head Office),167970
Home Affairs,Baju,Sanitisers (Head Office),41250
Home Affairs,Baju Logistics,Hand sanitizers,47437
Home Affairs,Baju Logistics,All surface disinfectant,70827.85
Home Affairs,Goldstone,Digital body thermometer,828000
Home Affairs,Manone Trading,Faceshield,395000
Home Affairs,Ma none Trading,Faceshleld,553000
Home Affairs,BAJU Cleaning Chemlcals,Hand sanitizers,228400
Home Affairs,COHORT TRADING,BOXES OF GLOVES,792000
Home Affairs,Shonlsani,PRDCURMENT OF FACESHIELD MASKS,476100
Home Affairs,SIYAZIWA PROJECTS,12 000 CLOTH MASK REUSABLE,282000
Home Affairs,Medlwaste Packaging (Fadlitles),Digital Body Thermometer,634800
Home Affairs,CLEANING WAREHOUSE,SANITIZING WIPES BUCKET,715.99
Home Affairs,Gomvrich PTY LTD,Duct Tapes,128500
Home Affairs,Materna Trading,Sanitisers (IMS},1036035
Home Affairs,Reka Moka,Hand Sanitizers,166425
Home Affairs,Masana Clothing,Cloth Masks,131750
Home Affairs,Lechoba Medical Technologies,Face Shields,252956
Home Affairs,Biological,Thermometers,119920
Home Affairs,Masana Clothing,Cloth Masks,131750
Home Affairs,Gomvrich PTY LTD,Duct Tapes,128500
Home Affairs,TCi 1 Solution,MASKS,17040
Home Affairs,TCI 1 Solution,GLOVES,10880
Home Affairs,TCI 1 Solution,GLOVES,87100
Home Affairs,TCI 1 Solution,MASKS,192500
Home Affairs,AG TRADING,SANITIZERS,243250
Home Affairs,MOTHEO WA RONA TRADlNG,GLOVES,63000.21
Home Affairs,HENRY SCHEIN DENTAL WAREHOUSE,GLOVES,124030
Home Affairs,PERFECT PPE,Mask,250
Home Affairs,ORION AGENCIES,Mask,496000
Home Affairs,Coastal Farmers,Mask,200
Home Affairs,OSMANS WHOLESALERS,Mask,800
Home Affairs,ARISE BRANDING,Mask,300
Home Affairs,ORION AGENCIES,Gloves,160000
Home Affairs,City Max Home,Gloves,180
Home Affairs,Pongoia Plaza Pharmacy,Gloves,230
Home Affairs,City Max Home,Gloves,80
Home Affairs,LINK CHEMIST,Gloves,330
Home Affairs,MAKRO,Gloves,400
Home Affairs,SCOTTBURGH DAY & NITE PHARMACY,Gloves,140
Home Affairs,PEOPLES PHARMACY,Gloves,390
Home Affairs,AS CASH 7 CARRY,Gloves,38
Home Affairs,LINK CHEMIST,Gloves,330
Home Affairs,ESTCOURT SHOP,Gloves,215
Home Affairs,ALLENCO MEDICAL & DENTAL SUPPLIES CC,Sanitisers,77625
Home Affairs,BUILD IT HARDWARE,Sanitisers,900
Home Affairs,LADVSMITH PHARMACY,Sanitisers,70
Home Affairs,MACKSONS HYPER ZONE,Sanitisers,180
Home Affairs,MACKSONS HYPER ZONE,Sanitisers,200
Home Affairs,MOOSA'S DISCOUNT,Sanitisers,120
Home Affairs,MULTI SAVE,Sanitisers,450
Home Affairs,PICK N PAY,Sanitisers,110
Home Affairs,TCC CHEMICALS,Sanitisers,225
Home Affairs,PICK N PAY,Sanitisers,680
Home Affairs,SPAR,Sanitisers,279
Home Affairs,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,70
Home Affairs,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,40
Home Affairs,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,140
Home Affairs,Home Hub,Sanitisers,120
Home Affairs,EVERLASTING PRODUCTS,Sanlt!sers,780
Home Affairs,Mtuba Pharmacy,Sanitisers,120
Home Affairs,Pongola Plaza Pharmacy,Sanitisers,120
Home Affairs,Game Store,Sanitisers,1900
Home Affairs,SAVMOR CASH&CARRY,Sanitisers,1200
Home Affairs,DB Cleaning,Sanitisers,370
Home Affairs,PETTY CASH-INGAMKHULULI PROJECTS,Sanitisers,1600
Home Affairs,SAV More,Sanitisers,1980
Home Affairs,CYBERCHEM,Sanitisers,800
Home Affairs,SCOTTBURGH DAY & NITE PHARMACY,Sanitisers,483
Home Affairs,PALMER AGRICULTURE & TRACTOR SUPPLIERS,Sanitisers,900
Home Affairs,Qualchem,Sanitisers,200
Home Affairs,Qualchem,Sanitisers,950
Home Affairs,PROME D TECHNOLOGIES,D!slnfectants,34560
Home Affairs,SARADOX FACTORY SHOP,Disinfectants,400
Home Affairs,SUPER SPAR,BAR SOAPS,63
Home Affairs,SHOPRITE,BARSOAP DETTOL,35
Home Affairs,Coastal Farmers,EMPTY Containers 2 litres,180
Home Affairs,Royal Cash & Carry-,EMPTY Containers for Sanitiser,80
Home Affairs,SARAHS CD,EMPTY SPRAY BOTTLES,100
Home Affairs,Qualchem,EMPTY spray bottles and tops,120
Home Affairs,NORTH SAFETY PRODUCTS,HAND SOAP - 1 LITRE EACH,448
Home Affairs,Qualchem,Sani Wipes lOOO's,740
Home Affairs,SHOPRITE,WIPES,90
Home Affairs,ALLEN CO MEDICAL & DENTAL SUPPLIES CC,SANITISERS,161000
Home Affairs,ZAKHANYA FITNESS,CLOTH MASKS,23400
Home Affairs,EVERGREEN LATEX,GLOVES,49860
Home Affairs,PROM ED TECHNOLOGIES,DISINFECTANT,72000
Home Affairs,MICA,Battery AAA,239.97
Home Affairs,SUPERSPAR,"Soap,h/wash",78.97
Home Affairs,FACTORY SHOP SUPPLIER,Spray bottles,40
Home Affairs,TCC CHEMICALS,Sanitizer,155
Home Affairs,ValueClty Wholesalers cc,Spray bottles,117.71
Home Affairs,Escourt Build It,Sanitizer,199.8
Home Affairs,City Max,Disposable Gloves,80
Home Affairs,Coastals,"Sprayer,Mask dust",522.3
Home Affairs,Mtuba Phamacy,Hand Sanitiser Pump,119.9
Home Affairs,Game,Duracell Battery,84.99
Home Affairs,E-Max Home,Spray bottles,116
Home Affairs,Newcastle Master Locksmith,Battery A27,45
Home Affairs,Makro,Gloves,100
Home Affairs,Family Express,Duracell Plus Battery AAA,56.98
Home Affairs,Division of Pepkor trading,Energlzer(battery),44.99
Home Affairs,Woolworths,Energize r(battery),149.9
Home Affairs,ROYLOND PTY LTD,16 LITRE BACKPACK SPRAYERS,59393.75
Home Affairs,DARADA TRADING & PROJECTS,CLEANING SERVICE- EMONDLO,39150
Home Affairs,MSONTOS GROUP,CLEANING SERVICE- HLABISA,23999.04
Home Affairs,BH LEGACY,CLEANING SERVICE- MBAZWANA,26724
