buyer_name,supplier_name,items_description,order_amount_zar,items_quantity
Department of Defence (DoD), Power Petrolium Distributors,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), PRECIOUS STONE,Masks: Surgical,771600.00,60 000
Department of Defence (DoD), Projects by Bella,Masks: Surgical,1145000.00,70 000
Department of Defence (DoD), PROMED TECHNOLOGIES,Protective Clothing,855915.00,40 500
Department of Defence (DoD), PROMED TECHNOLOGIES,Surgical Gloves,308320.00,6 700
Department of Defence (DoD), PT Medical Supplies,Sanitisers,240000.00,3 000
Department of Defence (DoD), PT Medical Supplies,Surgical Gloves,311335.00,877
Department of Defence (DoD), Puleng Development cc,Masks: Surgical,400000.00,20 000
Department of Defence (DoD), PVMT Trading and Project,Masks: Surgical,15000.00,500
Department of Defence (DoD), PVMT Trading and Project,Surgical Gloves,161120.00,424
Department of Defence (DoD), Qobolibomvu Investments,Masks: Surgical,520000.00,20000
Department of Defence (DoD), Qobolibomvu Investments,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), QUALITY MEDICAL SUPPLIES,Masks: Surgical,310500.00,600
Department of Defence (DoD), QUARTZ FILE (PTY) LTD,Masks: Surgical,880000.00,41000
Department of Defence (DoD), QUICKWAREHOUSE AND PROJECTS,Masks: Surgical,779400.00,60000
Department of Defence (DoD), RADIMPE TRADING AGENCY,Masks: Surgical,1050000.00,60 000
Department of Defence (DoD), RADIMPE TRADING AGENCY,Sanitisers,320000.00,4000
Department of Defence (DoD), Ramata Trading and Projects,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Ranzi Resourcing,Masks: Surgical,3240000.00,120000
Department of Defence (DoD), Ravha Trading Enterprise,Masks: Surgical,625000.00,50 000
Department of Defence (DoD), Raw Chemical Detergent,Surgical Gloves,71400.00,200
Department of Defence (DoD), RE TSHEPEGILE PROJECTS,Surgical Gloves,937500.00,2500
Department of Defence (DoD), REAKUTU TRADING ENTERPRISE,Masks: Surgical,750000.00,60000
Department of Defence (DoD), Rebcom Holding (Pty) Ltd,Surgical Gloves,1400000.00,4000
Department of Defence (DoD), Regalo Group,Masks: Surgical,1020000.00,40 000
Department of Defence (DoD), RELIABLE DIAGNOSTIC SUPPLIES,Protective Clothing,301875.00,350
Department of Defence (DoD), REVO SUPPLY AND SERVICES,Masks: Surgical,771000.00,60 000
Department of Defence (DoD), Reya Thusa Trading Enerprise,Masks: Surgical,1575000.00,60 000
Department of Defence (DoD), Rising Star Trading and Projects,Surgical Gloves,1520000.00,4000
Department of Defence (DoD), RMU,Surgical Gloves,7100.00,20
Department of Defence (DoD), Ropad Tools,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Roxports (Pty) Ltd,Masks: Surgical,3780000.00,180000
