Supplier Name,Item Description,Amount,Quantity
Vibtech Trading and projects (Pty) Ltd,Masks: Surgical,1040000,40000
VISCASPAN (PTY) LTD,Masks: Surgical,993000,70000
VITAL LIFE MEDICAL DISTRIBUTOR,Sanitisers,12 508,117
Vulombe Trading Enterprise (Pty) Ltd,Masks: Surgical,3000000,120000
Vumi Enterprise,Surgical Gloves,760 000,2 000
Vunwe Consulting,Surgical Gloves,760 000,2 000
VUWA OCCUPATIONAL SAFETY & PROJECTS,Masks: Surgical,900 000,60 000
Walunga (Pty) Ltd (S & T Excellent trading),Masks: Surgical,1020000,40000
Wesunni Trading Enterprise,Masks: Surgical,123 000,10 000
WISEWEALTH,Masks: Surgical,750000,60000
WORLD FOCUS 1186 GENERAL TRADING,Masks: Surgical,777000,60000
Xhumana Trading and Business Solutions,Masks: Surgical,49600000,4000000
Xhumana Trading and Business Solutions,Nitrile Gloves,7 600 000,20 000
XIHLONGA (PTY) LTD,Masks: Surgical,747000,60000
Xpand Business Enterprise Pty Ltd,Masks: Surgical,520 000,20 000
Y & P Logistics,Masks: Surgical,1554000,60000
Y & P Logistics,Surgical Gloves,3 157 500,8 500
Ya Madoda Ayi Pheli Trading Enterprise,Masks: Surgical,1263000,80000
Ya Madoda Ayi Pheli Trading Enterprise,Surgical Gloves,760 000,2 000
YBX 310 Holdings,Surgical Gloves,1520000,4000
Zakheni Strategic Supplies,Masks: Surgical,51411000,4100000
Zakheni Strategic Supplies,Nitrile Gloves,7 600 000,20 000
ZIBULO PROJECTS,Masks: Surgical,750 000,60 000
Ziyeka Engineering (Pty) Ltd,Sanitisers,80 000,1000
